"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"488","12006206","Fulda Bahnhof / ZOB","","50.553440641","9.684107602","2001","","0","","",""
"489","12006207","Fulda Bahnhof / ZOB","","50.553301752","9.684581012","2001","","0","","",""
"490","12006208","Fulda Bahnhof / ZOB","","50.553288118","9.684289992","2001","","0","","",""
"491","12006209","Fulda Bahnhof / ZOB","","50.553198649","9.68471244","2001","","0","","",""
"492","12006210","Fulda Bahnhof / ZOB","","50.553170531","9.684452266","2001","","0","","",""
"493","12209201","Fulda Zentralfriedhof","","50.543532","9.697242","2001","","0","","",""
"494","12209202","Fulda Zentralfriedhof","","50.5438","9.696836","2001","","0","","",""
"495","12220001","Fulda Zieherser Weg","","50.55846","9.683093","2001","","0","","",""
"496","12232201","Fulda Überm Engelshaus","","50.541885","9.656402","2001","","0","","",""
"497","12232202","Fulda Überm Engelshaus","","50.541931872","9.6562998","2001","","0","","",""
"498","12096601","Finkenhain Birkenhof","","50.540927","9.83332","2070","","0","","",""
"499","12096602","Finkenhain Birkenhof","","50.541343","9.832927","2070","","0","","",""
"500","12026101","Finkenhain","","50.53283","9.838915","2070","","0","","",""
"501","12026102","Finkenhain","","50.532978","9.838083","2070","","0","","",""
"502","12226501","Findlos Ortsmitte","","50.551428","10.000575","1740","","0","","",""
"503","12226502","Findlos Ortsmitte","","50.55147","10.000623","1740","","0","","",""
"504","12038101","Flieden Adenmühle","","50.413403","9.566482","1925","","0","","",""
"505","12038102","Flieden Adenmühle","","50.412868","9.566532","1925","","0","","",""
"506","11105101","Flieden Bahnhof","","50.420888","9.57517","1925","","0","","",""
"507","12239201","Flieden Gewerbegebiet Flieden Süd","","50.407983","9.554217","1925","","0","","",""
"508","12239202","Flieden Gewerbegebiet Flieden Süd","","50.407737","9.553187","1925","","0","","",""
"509","12018401","Flieden Glockenweg","","50.418522","9.565262","1925","","0","","",""
"510","12018402","Flieden Glockenweg","","50.418623263","9.565354139","1925","","0","","",""
"511","12038601","Flieden Abzweig Kellerei","","50.432632","9.550122","1925","","0","","",""
"512","12038602","Flieden Abzweig Kellerei","","50.432552","9.549252","1925","","0","","",""
"513","12038501","Flieden Reinhardstraße","","50.424073","9.56573","1925","","0","","",""
"514","12038502","Flieden Reinhardstraße","","50.425097","9.563538","1925","","0","","",""
"515","12099701","Flieden Waldstrasse","","50.420727","9.556162","1925","","0","","",""
"516","12099702","Flieden Waldstrasse","","50.420738","9.556317","1925","","0","","",""
"517","12021201","Flieden Weinbergstraße","","50.427768","9.560675","1925","","0","","",""
"518","12021202","Flieden Weinbergstraße","","50.428457","9.560102","1925","","0","","",""
"519","12073901","Flieden Zentrum","","50.421246556","9.56738323","1925","","0","","",""
"520","12073902","Flieden Zentrum","","50.421262791","9.567731917","1925","","0","","",""
"521","12073903","Flieden Zentrum","","50.420914166","9.567648768","1925","","0","","",""
"522","12073904","Flieden Zentrum","","50.420800521","9.567892849","1925","","0","","",""
"523","12026501","Friesenhausen B 458","","50.52808","9.830798","2070","","0","","",""
"524","12026502","Friesenhausen B 458","","50.528203","9.828957","2070","","0","","",""
"525","12055401","Eiterfeld Fürsteneck","","50.776033","9.808883","1653","","0","","",""
"526","12238601","Gackenhof","","50.475503","9.875173","1801","","0","","",""
"527","12238602","Gackenhof","","50.47551","9.875334","1801","","0","","",""
"528","12096901","Geisa Busbahnhof","","50.717506","9.956989","1669","","0","","",""
"529","13041701","Geisa Kulturhaus","","50.716903897","9.953404739","1669","","0","","",""
"530","13041702","Geisa Kulturhaus","","50.716875027","9.953407422","1669","","0","","",""
"531","12097001","Geisa Point Alpha","","50.719412","9.928417","1669","","0","","",""
"532","13041801","Geisa Rasdorfer Berg","","50.718653908","9.945928082","1669","","0","","",""
"533","13041802","Geisa Rasdorfer Berg","","50.718632681","9.945898578","1669","","0","","",""
"534","12064901","Gersfeld Abzw. Maiersbach","","50.454762","9.896905","1847","","0","","",""
"535","11107201","Gersfeld Bahnhof","","50.4493","9.915603","1847","","0","","",""
"536","12041001","Schletzenhausen Gersrod","","50.526575","9.488312","2101","","0","","",""
"537","12041002","Schletzenhausen Gersrod","","50.526613","9.488445","2101","","0","","",""
"538","12055301","Giesenhain","","50.765415","9.740017","1618","","0","","",""
"539","12055302","Giesenhain","","50.765407","9.740047","1618","","0","","",""
"540","12035201","Giesel Raiffeisen","","50.504063","9.56661","1930","","0","","",""
"541","12035102","Giesel Sommerberg","","50.508737","9.571982","1930","","0","","",""
"542","12236301","Gläserzell Abt-Hadamar-Straße","","50.58087","9.646988","2001","","0","","",""
"543","12235601","Gläserzell Gerhart-Hauptmann-Straße","","50.573393","9.643907","2001","","0","","",""
"544","12236101","Gläserzell Lausitzer Straße","","50.576234","9.642393","2001","","0","","",""
"545","11119501","Großenlüder Bahnhof","","50.59199","9.549787","2109","","0","","",""
"546","12040101","Großenlüder Ortsmitte","","50.589855","9.540643","2109","","0","","",""
"547","12040102","Großenlüder Ortsmitte","","50.59005","9.540555","2109","","0","","",""
"548","12054601","Großenlüder Schule","","50.585869087","9.549003392","2109","","0","","",""
"549","12054602","Großenlüder Schule","","50.585959345","9.548606426","2109","","0","","",""
"550","12054603","Großenlüder Schule","","50.586110059","9.548476338","2109","","0","","",""
"551","12054604","Großenlüder Schule","","50.586262476","9.548350275","2109","","0","","",""
"552","12221301","Gotthards Kermes","","50.620637","9.893225","1640","","0","","",""
"553","12221302","Gotthards Kermes","","50.62068","9.89339","1640","","0","","",""
"554","12045701","Gotthards","","50.622337","9.901362","1640","","0","","",""
"555","12045702","Gotthards","","50.62202","9.90145","1640","","0","","",""
"556","12010401","Großenmoor","","50.702363","9.652708","1613","","0","","",""
"557","12010402","Großenmoor","","50.702433","9.652408","1613","","0","","",""
"558","12221601","Großenbach Kirche","","50.686085","9.80138","1645","","0","","",""
"559","12095301","Großenbach Linkbergstraße","","50.684993","9.801178","1645","","0","","",""
"560","12095302","Großenbach Linkbergstraße","","50.685302","9.800655","1645","","0","","",""
"561","12220501","Großenbach Ortseingang","","50.6833","9.795877","1645","","0","","",""
"562","12220502","Großenbach Ortseingang","","50.682095","9.792087","1645","","0","","",""
"563","12011301","Großentaft Ortsmitte","","50.741653","9.858427","1658","","0","","",""
"564","12011302","Großentaft Ortsmitte","","50.741418","9.858235","1658","","0","","",""
"565","12053801","Großentaft Hauptstraße","","50.742558","9.864232","1658","","0","","",""
"566","12009701","Gruben","","50.694503","9.749853","1650","","0","","",""
"567","12009702","Gruben","","50.695088","9.750212","1650","","0","","",""
"568","12230801","Grüsselbach Felsenkeller","","50.736552","9.923062","1630","","0","","",""
"569","12230802","Grüsselbach Felsenkeller","","50.736327","9.922928","1630","","0","","",""
"570","12230901","Grüsselbach Ortsmitte","","50.740682","9.920485","1630","","0","","",""
"571","12094301","Götzenhof Milseburgradweg","","50.577705","9.718058","2065","","0","","",""
"572","12014601","Götzenhof","","50.579327","9.716585","2065","","0","","",""
"573","12014602","Götzenhof","","50.579818","9.717195","2065","","0","","",""
"574","12227901","Günthers DGH","","50.658397","9.992048","1710","","0","","",""
"575","12227902","Günthers DGH","","50.658458","9.992277","1710","","0","","",""
"576","12090203","Günthers Wartburgstraße","","50.659605","9.995943","1710","","0","","",""
"577","12090204","Günthers Wartburgstraße","","50.659602","9.995753","1710","","0","","",""
"578","12016301","Höf und Haid Dirlosborn","","50.408845","9.518128","1925","","0","","",""
"579","12016302","Höf und Haid Dirlosborn","","50.409083","9.517852","1925","","0","","",""
